id,car_brand,car_model,car_trim,Price_EGP,body_type,powertrain_type,Insurance_Price_EGP,Register_Price_EGP,Engine_CC,Engine_Turbo,Horsepower_HP,Max_Speed_kmh,Acceleration_0_100_sec,Number_transmission_Speeds,Transmission_Type,Fuel_Type,Number_of_Cylinders,Fuel_Tank_L,Torque_Newton_Meter,Length_mm,Width_mm,Height_mm,Ground_Clearance_mm,Wheelbase_mm,Trunk_Size_L,Origin_Country,Assembly_Country,Year,Number_of_Seats,Traction_Type,ABS,EBD,Driver_Airbag,Passenger_Airbag,Rear_Sensors,Air_Conditioning,Power_Steering,Electric_Mirrors,Remote_Keyless,Central_Locking,Cruise_Control,Sunroof,Tinted_Glass,Front_Power_Windows,Back_Power_Windows,Bluetooth,USB_Port,AUX,Alloy_Wheels,Fog_Light,Multifunction,Warranty_km,Warranty_years,Minimum_Installment,Minimum_Deposit,Fuel_Consumption_l_100_km,Side_Airbag,Power_Seats,CD_Player,Closing_Mirrors,Leather_Seats,EPS,Rear_Camera,GPS,Front_Sensors,Intelligent_Parking_System,Rear_Spoiler,Electric_Chairs,Start_Engine,ESP,Steptronic,Panoramic_Sunroof,Touch_Activated_Door_Lock,Heated_Seats,Cool_Box,Rear_Seat_Entertainment,Daytime_Running_Lights,Start_Stop_System,Tyre_Pressure_Sensor,Xenon_Headlights,Front_Camera,Immobilizer_Key,Roof_Rack,Anti_Theft_System,Alarm,Multimedia_Touch_Screen,Off_Road_Tyres,Battery_Capacity_kWh,Battery_Range_km
154,chery,Tiggo-7-pro-max,Chery Tiggo 7 pro max 2026 A/T / Flagship,1280000.0,crossover/suv,Internal_Combustion_Engine,32000,12800,1500,True,145,,,6,automatic_dsg,95,4,51,210,4553,1862,1696,,2670,475,china,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100000.0,5.0,35813,192000,,True,True,,True,True,True,True,,True,,,True,True,True,,True,True,,,True,True,True,True,,True,True,True,True,True,True,,,
155,chery,Tiggo-8,Chery Tiggo 8 2026 A/T / Comfort 7 Seats,1125000.0,crossover/suv,Internal_Combustion_Engine,28125,11250,1500,True,145,,,6,automatic_dsg,92,4,51,210,4700,1860,1746,200,2710,193,china,egypt,2026,,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,31477,168750,,,,,,True,True,True,,,,,,True,True,,True,True,,,,,,,,,,,True,True,True,,,
156,chery,Tiggo-8,Chery Tiggo 8 2025 A/T / Comfort 7 Seats,1180000.0,crossover/suv,Internal_Combustion_Engine,29500,11800,1500,True,145,,,6,automatic_dsg,92,4,51,210,4700,1860,1746,200,2710,193,china,egypt,2025,,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,33015,177000,,,,,,True,True,True,,,,,,True,True,,True,True,,,,,,,,,,,True,True,True,,,
157,chery,Tiggo-8,Chery Tiggo 8 2026 A/T / Luxury,1195000.0,crossover/suv,Internal_Combustion_Engine,29875,11950,1500,True,145,,,6,automatic_dsg,92,4,51,210,4700,1860,1746,200,2710,889,china,egypt,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,33435,179250,,True,True,,True,True,True,True,,True,True,,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
158,chery,Tiggo-8,Chery Tiggo 8 2026 A/T / Luxury 7 Seats,1250000.0,crossover/suv,Internal_Combustion_Engine,31250,12500,1500,True,145,,,6,automatic_dsg,92,4,51,210,4700,1860,1746,200,2710,193,china,egypt,2026,,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,34974,187500,,True,True,,True,True,True,True,,True,True,,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
159,chery,Tiggo-8,Chery Tiggo 8 2025 A/T / Luxury,1250000.0,crossover/suv,Internal_Combustion_Engine,31250,12500,1500,True,145,,,6,automatic_dsg,92,4,51,210,4700,1860,1746,200,2710,889,china,egypt,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,34974,187500,,True,True,,True,True,True,True,,True,True,,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
160,chery,Tiggo-8,Chery Tiggo 8 2025 A/T / Luxury 7 Seats,1305000.0,crossover/suv,Internal_Combustion_Engine,32625,13050,1500,True,145,,,6,automatic_dsg,92,4,51,210,4700,1860,1746,200,2710,193,china,egypt,2025,,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,36513,195750,,True,True,,True,True,True,True,,True,True,,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
161,chery,Tiggo-8-Pro,Chery Tiggo 8 Pro 2026 A/T / Luxury,1375000.0,crossover/suv,Internal_Combustion_Engine,34375,13750,1600,True,197,,,7,automatic_dsg,95,4,51,290,4722,1860,1745,,2710,,china,china,2026,7,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100000.0,5.0,38471,206250,,True,True,,True,True,True,True,True,True,True,True,,True,True,,True,True,,,,,,,,,,,True,True,True,,,
162,chery,Tiggo-8-Pro,Chery Tiggo 8 Pro 2026 A/T / Flagship,1475000.0,crossover/suv,Internal_Combustion_Engine,36875,14750,1600,True,197,,,7,automatic_dsg,95,4,51,290,4722,1860,1745,,2710,,china,china,2026,7,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100000.0,5.0,41269,221250,,True,True,,True,True,True,True,True,True,True,True,,True,True,,True,True,,,,,,,,,,,True,True,True,,,
163,chery,Tiggo-8-Pro-Max,Chery Tiggo 8 Pro Max 2025 A/T / Luxury,1425000.0,crossover/suv,Internal_Combustion_Engine,35625,14250,1600,True,197,,,7,automatic_dsg,95,4,51,290,4720,1860,1705,,2710,117,china,china,2025,7,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,100000.0,5.0,39870,213750,,True,True,,True,True,True,True,True,,True,True,True,True,True,,,True,,,True,True,True,True,,,True,True,True,True,True,,,
164,chery,Tiggo-8-Pro-Max,Chery Tiggo 8 Pro Max 2025 A/T / Flagship,1525000.0,crossover/suv,Internal_Combustion_Engine,38125,15250,1600,True,197,,,7,automatic_dsg,95,4,51,290,4720,1860,1705,,2710,117,china,china,2025,7,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,100000.0,5.0,42668,228750,,True,True,,True,True,True,True,True,,True,True,True,True,True,,,True,,,True,True,True,True,,,True,True,True,True,True,,,
165,chery,Tiggo-9,Chery Tiggo 9 2026 A/T / Luxury,1999000.0,crossover/suv,Electric,49975,19990,1500,True,210,,,8,automatic_dsg,95,4,70,440,4810,1925,1741,,2800,143,china,china,2026,7,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100000.0,5.0,55930,299850,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,19.43,
166,chevrolet,captiva,Chevrolet Captiva 2025 A/T / LV3,1150000.0,crossover/suv,Internal_Combustion_Engine,28750,11500,1500,True,148,,,,automatic_cvt,92,4,52,230,4655,1835,1760,185,2750,1051,usa,china,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,150000.0,5.0,32176,172500,7.5,True,True,,True,True,True,True,,True,True,,,True,True,,,,,,,,,,,,,,True,True,True,,,
167,chevrolet,captiva,Chevrolet Captiva 2025 A/T / LV3 (7seats),1200000.0,crossover/suv,Internal_Combustion_Engine,30000,12000,1500,True,148,,,,automatic_cvt,92,4,52,230,4655,1835,1835,185,2750,1051,usa,china,2025,,front traction,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,150000.0,5.0,33575,180000,7.5,True,True,,True,True,True,True,,True,True,,,True,True,,,,,,,,,,,,,,True,True,True,,,
168,chevrolet,optra,Chevrolet Optra 2026 A/T / Ls,744900.0,sedan,Internal_Combustion_Engine,18623,7449,1500,False,98,,,,automatic_cvt,90,4,45,140,4490,1695,1490,,2550,475,usa,egypt,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,150000.0,5.0,20842,111735,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,True,True,,,
169,chevrolet,optra,Chevrolet Optra 2025 A/T / Ls,745000.0,sedan,Internal_Combustion_Engine,18625,7450,1500,False,98,,,,automatic_cvt,90,4,45,140,4490,1695,1490,,2550,475,usa,egypt,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,150000.0,5.0,20844,111750,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,True,True,,,
170,chevrolet,optra,Chevrolet Optra 2026 A/T / Lt,769900.0,sedan,Internal_Combustion_Engine,19248,7699,1500,False,98,,,,automatic_cvt,90,4,45,140,4490,1695,1490,,2550,475,usa,egypt,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,150000.0,5.0,21541,115485,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,True,True,,,
171,chevrolet,optra,Chevrolet Optra 2025 A/T / Lt,770000.0,sedan,Internal_Combustion_Engine,19250,7700,1500,False,98,,,,automatic_cvt,90,4,45,140,4490,1695,1490,,2550,475,usa,egypt,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,150000.0,5.0,21544,115500,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,True,True,,,
172,citroen,C3-Aircross,Citroën C3 Aircross 2025 A/T / Feel,1225000.0,crossover/suv,Internal_Combustion_Engine,30625,12250,1200,True,110,183,10.6,6,automatic_traditional,95,3,45,205,4154,1756,1597,170,2604,410,france,spain,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,,,,True,True,True,True,True,True,True,True,100000.0,3.0,34274,183750,5.6,True,,,,,True,,,,,,,,True,,,,,,,,,,,,,,True,True,True,,,
173,citroen,C3-Aircross,Citroën C3 Aircross 2025 A/T / Shine,1370000.0,crossover/suv,Internal_Combustion_Engine,34250,13700,1200,True,110,183,10.6,6,automatic_traditional,95,3,45,205,4154,1756,1597,170,2604,410,france,spain,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,100000.0,3.0,38331,205500,5.6,True,,,,,True,,,,,,,True,True,,,,,,,,,,,,,,True,True,True,,,
174,citroen,C4X,Citroën C4X 2026 A/T / Feel,1289000.0,sedan,Internal_Combustion_Engine,32225,12890,1200,True,130,180,9.3,8,automatic_traditional,95,3,44,230,4600,1834,1525,,2670,510,france,egypt,2026,5,front traction,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,,100000.0,3.0,36065,193350,6.5,,True,True,,,,True,,,True,,,True,True,,True,True,,,,,,,,,,,,True,True,,,
175,citroen,C4X,Citroën C4X 2026 A/T / Shine,1449000.0,sedan,Internal_Combustion_Engine,36225,14490,1200,True,130,180,9.3,8,automatic_traditional,95,3,44,230,4600,1834,1525,,2670,510,france,egypt,2026,5,front traction,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,100000.0,3.0,40542,217350,6.5,True,True,True,,,True,True,,True,True,,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
176,citroen,C4X,Citroën C4X 2025 A/T / Feel,1450000.0,sedan,Internal_Combustion_Engine,36250,14500,1200,True,130,,,8,automatic_traditional,95,3,,230,,,,,,510,france,spain,2025,5,front traction,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,,100000.0,3.0,40570,217500,,,True,True,,,,True,,,True,,,True,True,,True,True,,,,,,,,,,,,True,True,,,
177,citroen,C4X,Citroën C4X 2025 A/T / Shine,1590000.0,sedan,Internal_Combustion_Engine,39750,15900,1200,True,130,,,8,automatic_traditional,95,3,,230,,,,,,510,france,spain,2025,5,front traction,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,100000.0,3.0,44487,238500,,True,True,True,,,True,True,,True,True,,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
178,citroen,C4X-shape-facelift,Citroën C4X 2025 A/T / Feel,1289000.0,sedan,Internal_Combustion_Engine,32225,12890,1200,True,130,180,9.3,8,automatic_traditional,95,3,44,230,4600,1834,1525,,2670,510,france,egypt,2025,5,front traction,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,,100000.0,3.0,36065,193350,6.5,,True,True,,,,True,,,True,,,True,True,,True,True,,,,,,,,,,,,True,True,,,
179,citroen,C4X-shape-facelift,Citroën C4X 2025 A/T / Shine,1449000.0,sedan,Internal_Combustion_Engine,36225,14490,1200,True,130,180,9.3,8,automatic_traditional,95,3,44,230,4600,1834,1525,,2670,510,france,egypt,2025,5,front traction,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,100000.0,3.0,40542,217350,6.5,True,True,True,,,True,True,,True,True,,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
180,citroen,C5-Aircross,Citroën C5 Aircross 2026 A/T / Shine Entry,1590000.0,crossover/suv,Internal_Combustion_Engine,39750,15900,1600,True,165,201,9.4,6,automatic_traditional,92,4,53,240,4500,1860,1689,200,2730,516,france,france,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,150000.0,5.0,44487,238500,6.8,True,True,,,True,True,True,,True,,True,True,True,True,,True,,,,,,,,,,,,True,True,True,,,
181,citroen,C5-Aircross,Citroën C5 Aircross 2025 A/T / FEEL / with out sunroof,1670000.0,crossover/suv,Internal_Combustion_Engine,41750,16700,1600,True,165,201,9.4,6,automatic_traditional,92,4,53,240,4500,1860,1689,200,2730,516,france,france,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,150000.0,5.0,46725,250500,6.8,True,True,,,True,True,True,,True,,True,True,True,True,,,,,,,,,,,,,,True,True,True,,,
182,citroen,C5-Aircross,Citroën C5 Aircross 2025 A/T / Feel with sunroof,1700000.0,crossover/suv,Internal_Combustion_Engine,42500,17000,1600,True,165,201,9.4,6,automatic_traditional,92,4,53,240,4500,1860,1689,200,2730,516,france,france,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,150000.0,5.0,47565,255000,6.8,True,True,,,True,True,True,,True,,True,True,True,True,,True,,,,,,,,,,,,True,True,True,,,
183,citroen,C5-Aircross,Citroën C5 Aircross 2026 A/T / Shine,1730000.0,crossover/suv,Internal_Combustion_Engine,43250,17300,1600,True,165,201,9.4,6,automatic_traditional,92,4,53,240,4500,1860,1689,200,2730,516,france,france,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,5.0,48404,259500,6.8,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
184,citroen,C5-Aircross,Citroën C5 Aircross 2025 A/T / SHINE,1820000.0,crossover/suv,Internal_Combustion_Engine,45500,18200,1600,True,165,201,9.4,6,automatic_traditional,92,4,53,240,4500,1860,1689,200,2730,516,france,france,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,5.0,50922,273000,6.8,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
185,citroen,c3,Citroën C3 2025 A/T / Feel,1055000.0,hatchback,Internal_Combustion_Engine,26375,10550,1200,True,110,,,6,automatic_traditional,95,,,,3996,2007,1490,,2539,300,france,slovakia,2025,5,front traction,True,True,True,True,True,True,,True,True,True,,,,True,True,True,True,True,True,True,,100000.0,3.0,29518,158250,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,
186,citroen,c3,Citroën C3 2025 A/T / Shine,1190000.0,hatchback,Internal_Combustion_Engine,29750,11900,1200,True,110,,,6,automatic_traditional,95,,,,3996,2007,1490,,2539,300,france,slovakia,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,100000.0,3.0,33295,178500,,True,,,True,,True,True,,,True,True,,True,True,,,True,,,,,,,,,,,True,True,True,,,
187,citroen,c4,Citroën C4 2026 A/T / Shine Two Tone,1390000.0,hatchback,Internal_Combustion_Engine,34750,13900,1200,True,155,,8.2,8,automatic_traditional,95,3,,240,4360,1834,1520,,,380,france,spain,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100000.0,3.0,38891,208500,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,True,True,,True,,True,True,True,,,
188,citroen,c4,Citroën C4 2025 A/T / Feel,1415000.0,hatchback,Internal_Combustion_Engine,35375,14150,1200,True,155,,8.2,8,automatic_traditional,95,3,,240,4360,1834,1520,,,380,france,spain,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,100000.0,3.0,39591,212250,,True,,,True,,True,True,,,True,True,,True,True,True,,True,,,,,,,,,,,True,True,True,,,
189,citroen,c4,Citroën C4 2025 A/T / Shine,1550000.0,hatchback,Internal_Combustion_Engine,38750,15500,1200,True,155,,8.2,8,automatic_traditional,95,3,,240,4360,1834,1520,,,380,france,spain,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,100000.0,3.0,43368,232500,,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
190,cupra,Terramar,Cupra Terramar 2025 A/T / IMPULSE,2199000.0,crossover/suv,Internal_Combustion_Engine,54975,21990,1400,True,150,205,9.3,7,automatic_dsg,95,4,55,260,4519,1863,1584,,2681,540,spain,hungary,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,4.0,61526,329850,6.8,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
191,cupra,Terramar,Cupra Terramar 2026 A/T / IMPULSE,2229000.0,crossover/suv,Internal_Combustion_Engine,55725,22290,1400,True,150,205,9.3,7,automatic_dsg,95,4,55,260,4519,1863,1584,,2681,540,spain,hungary,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,4.0,62366,334350,6.8,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
192,cupra,Terramar,Cupra Terramar 2025 AT / CONTROL,2299000.0,crossover/suv,Internal_Combustion_Engine,57475,22990,1400,True,150,205,9.3,7,automatic_dsg,95,4,55,260,4519,1863,1584,,2681,540,spain,hungary,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,4.0,64324,344850,6.8,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
193,cupra,Terramar,Cupra Terramar 2026 AT / CONTROL,2329000.0,crossover/suv,Internal_Combustion_Engine,58225,23290,1400,True,150,205,9.3,7,automatic_dsg,95,4,55,260,4519,1863,1584,,2681,540,spain,hungary,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,4.0,65163,349350,6.8,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
194,cupra,leon-cupra,Cupra Leon 2026 Automatic,1744000.0,hatchback,Internal_Combustion_Engine,43600,17440,1400,True,150,215,8.7,8,automatic_traditional,95,4,45,250,4398,1799,1444,,2686,380,spain,spain,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,4.0,48796,261600,5.9,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
195,deepal,Deepal_S05,Deepal S 05 2026 A/T / REEV,1450000.0,sedan,Range_Extended_Electric_Vehicle_REEV_EREV,36250,14500,1500,True,235,,,,automatic_traditional,95,4,,320,4620,1900,1600,,2880,464,china,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,40570,217500,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,True,True,True,True,True,True,,True,True,True,,27.0,1059
196,deepal,Deepal_S05,Deepal S 05 2026 A/T / BEV,1600000.0,sedan,Electric,40000,4000,,False,214,,,,automatic_traditional,,4,,320,4620,1900,1600,,2880,492,china,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,44767,240000,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,True,True,True,True,True,True,,True,True,True,,56.0,460
197,deepal,Deepal_s07,Deepal S 07 2026 A/T / REEV,1800000.0,crossover/suv,Range_Extended_Electric_Vehicle_REEV_EREV,45000,18000,1500,True,235,,,,automatic_traditional,95,4,45,320,4750,1930,1625,,2900,445,china,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,50363,270000,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,True,True,True,True,True,True,,True,True,True,,32.0,992
198,deepal,Deepal_s07,Deepal S 07 2026 A/T / BEV,1900000.0,crossover/suv,Electric,47500,4750,,False,214,,,,automatic_traditional,,4,45,320,4750,1930,1625,,2900,445,china,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,53160,285000,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,True,True,True,True,True,True,,True,True,True,,80.0,560
199,dfm,Box,Dongfeng Box 2026 Automtic,770000.0,van,Electric,19250,1925,,False,94,,,,automatic_traditional,,,,160,,,,,,,china,,2026,4,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,,21544,115500,,True,,,True,True,True,True,True,True,True,,,True,True,,,True,,,,True,True,True,,True,True,,True,True,True,,,330
200,dfm,Box,Dongfeng Box 2026 A/T / Highline,870000.0,van,Electric,21750,2175,,False,94,,,,automatic_traditional,,,,160,,,,,,,china,,2026,4,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,,24342,130500,,True,,,True,True,True,True,True,True,True,,,True,True,,,True,,,,True,True,True,,True,True,,True,True,True,,,430
201,dfm,Huge,Dongfeng Huge 2025 A/T / HUGE-Hybrid,1495000.0,crossover/suv,Hybrid,37375,14950,1500,True,180,,,9,automatic_traditional,95,4,52,540,4720,1910,1702,,2825,,china,china,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,41829,224250,5.8,True,True,,True,,True,True,True,,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
202,dfm,Huge,Dongfeng Huge 2025 A/T / (Special Color),1545000.0,crossover/suv,Internal_Combustion_Engine,38625,15450,1500,True,246,,,9,automatic_traditional,95,4,52,540,4720,1910,1702,,2825,,china,china,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,43228,231750,5.8,True,True,,True,,True,True,True,,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
203,dfm,Mage,Dongfeng Mage 2026 A/T / Highline,1190000.0,crossover/suv,Internal_Combustion_Engine,29750,11900,1500,True,204,,8.5,7,automatic_dsg,95,4,,350,,,,,,486,china,,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,33295,178500,,True,,,True,True,True,True,True,,True,True,,True,True,,True,True,,,True,True,True,True,True,True,True,,True,True,True,,,
204,dfm,Mage,Dongfeng Mage 2026 A/T / Elite,1290000.0,crossover/suv,Internal_Combustion_Engine,32250,12900,1500,True,204,,8.5,7,automatic_dsg,95,4,,350,,,,,,486,china,,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,36093,193500,,True,,,True,True,True,True,True,,True,True,,True,True,,True,True,,,True,True,True,True,True,True,True,,True,True,True,,,
205,dfm,Shine,Dongfeng Shine 2026 A/T / Advance,790000.0,sedan,Internal_Combustion_Engine,19750,7900,1500,False,125,,,6,automatic_traditional,92,4,,158,,,,,,,china,,2026,4,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,22104,118500,,True,,,,,True,True,True,,True,True,,True,True,True,True,True,,,True,True,True,True,,,True,,True,True,True,,,
206,dfm,Shine,Dongfeng Shine 2026 A/T / Sport,945000.0,sedan,Internal_Combustion_Engine,23625,9450,1500,True,197,,,6,automatic_dsg,95,4,,300,,,,,,,china,,2026,4,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,26440,141750,,True,,,,,True,True,True,,True,True,,True,True,True,True,True,,,True,True,True,True,,,True,,True,True,True,,,
207,dfm,Voyah-Free,Dongfeng Voyah Free 2026 A/T / Luxury,2650000.0,crossover/suv,Internal_Combustion_Engine,66250,26500,1500,True,482,,4.5,8,automatic_dsg,95,4,,720,,,,,,,china,,2026,5,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,74145,397500,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
208,ds,DS7,Ds DS7 2025 A/T / pallas,2595000.0,crossover/suv,Internal_Combustion_Engine,64875,25950,1600,True,215,220,7.8,8,automatic_traditional,95,4,62,300,4593,1890,1625,191,2738,555,france,france,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,5.0,72606,389250,6.0,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
209,ds,DS7,Ds DS7 2025 A/T / Etoile,2850000.0,crossover/suv,Internal_Combustion_Engine,71250,28500,1600,True,165,220,8.9,6,automatic_traditional,95,4,62,240,4570,1895,1625,191,2738,555,france,france,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,5.0,79741,427500,6.0,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
210,ds,ds4,Ds Ds4 2025 A/T / Trocadero,2060000.0,hatchback,Internal_Combustion_Engine,51500,20600,1600,True,215,235,7.9,8,automatic_traditional,95,4,52,300,4400,1830,1470,,2675,430,france,france,2025,4,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,5.0,57637,309000,6.6,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
211,ds,ds4,Ds Ds4 2025 A/T / Performance Line,2200000.0,hatchback,Internal_Combustion_Engine,55000,22000,1600,True,215,235,7.9,8,automatic_traditional,95,4,52,300,4400,1830,1470,,2675,430,france,france,2025,4,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,5.0,61554,330000,6.6,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,True,True,True,,,
