car_trim,powertrain_type
Opel Mokka 2025 A/T / Black Edition,Internal_Combustion_Engine
Opel Mokka A/T / Black Edition 2026,Internal_Combustion_Engine
Opel Grandland 2026 A/T / Highline+,Internal_Combustion_Engine
Opel Grandland 2026 A/T / Top Line,Internal_Combustion_Engine
Opel Grandland 2026 A/T / Top Line+,Internal_Combustion_Engine
Opel Grandland 2025 A/T / Top Line,Internal_Combustion_Engine
Opel Grandland 2025 A/T / Highline,Internal_Combustion_Engine
Opel Grandland 2025 A/T / Top Line,Internal_Combustion_Engine
Opel Grandland 2025 A/T / Top Line+,Internal_Combustion_Engine
Opel Grandland A/T / Top Line+ 2025,Internal_Combustion_Engine
Opel Grandland A/T / Top Line 2025,Internal_Combustion_Engine
Opel Grandland A/T / Highline 2025,Internal_Combustion_Engine
Dongfeng Box 2026 Automtic,Electric
Dongfeng Box 2026 A/T / Highline,Electric
Dongfeng Shine 2026 A/T / Advance,Internal_Combustion_Engine
Dongfeng Shine 2026 A/T / Sport,Internal_Combustion_Engine
Dongfeng Mage 2026 A/T / Highline,Internal_Combustion_Engine
Dongfeng Mage 2026 A/T / Elite,Internal_Combustion_Engine
Dongfeng Huge 2025 A/T / HUGE-Hybrid,Hybrid
Dongfeng Huge 2025 A/T / (Special Color),Internal_Combustion_Engine
Dongfeng Voyah Free 2026 A/T / Luxury,Internal_Combustion_Engine
Audi Q2 2026 A/T / S Line,Internal_Combustion_Engine
Audi Q2 2025 A/T / S Line,Internal_Combustion_Engine
Audi A3 2026 A/T / Sportback,Internal_Combustion_Engine
Audi A3 2026 A/T / S-Line,Internal_Combustion_Engine
Audi A3 2025 A/T / Sport back,Internal_Combustion_Engine
Audi A3 2025 A/T / S-Line,Internal_Combustion_Engine
Audi Q3 2026 A/T / Advanced,Internal_Combustion_Engine
Audi Q3 2026 A/T / S-Line,Internal_Combustion_Engine
Audi Q3 2026 A/T / Sport back,Internal_Combustion_Engine
Audi Q3 2026 A/T / Sport back B/L,Internal_Combustion_Engine
Audi Q3 2025 A/T / Advanced,Internal_Combustion_Engine
Audi Q3 2025 A/T / S-Line,Internal_Combustion_Engine
Audi Q3 2025 A/T / Sport back,Internal_Combustion_Engine
Audi Q3 2025 A/T / Sport back B/L,Internal_Combustion_Engine
Audi Q3 2025 A/T / Sport back (2.0L),Internal_Combustion_Engine
Audi A5 2026 A/T / Advanced,Internal_Combustion_Engine
Audi A5 2026 A/T / S-Line,Internal_Combustion_Engine
Audi A5 2026 A/T / S-Line PLUS,Internal_Combustion_Engine
Audi A5 2025 A/T / Advanced,Internal_Combustion_Engine
Audi Q7 2026 A/T / S Line,Internal_Combustion_Engine
Audi Q7 2026 A/T / S Line Plus,Internal_Combustion_Engine
Audi Q7 2025 A/T / S Line,Internal_Combustion_Engine
Audi Q7 2025 A/T / S Line Plus,Internal_Combustion_Engine
Audi Q7 2025 A/T / S Line (3.0 L),Internal_Combustion_Engine
Audi Q7 A/T / S Line 2025,Internal_Combustion_Engine
Audi RS e-Tron 2025 A/T / S Line,Electric
Audi Q8 2026 A/T / S Line,Internal_Combustion_Engine
Audi Q8 2026 A/T / S Line Plus,Internal_Combustion_Engine
Audi Q8 2025 A/T / S Line,Internal_Combustion_Engine
Audi Q8 2025 A/T / S Line Plus,Internal_Combustion_Engine
Audi A8 2025 A/T / S-Line Long,Internal_Combustion_Engine
Lynkco 06 2025 A/T / Core Plus,Internal_Combustion_Engine
Lynkco 06 2025 A/T / Hyper Pro,Internal_Combustion_Engine
Lynkco 06 2025 A/T / Hyper Halo,Internal_Combustion_Engine
Lynkco 06 A/T / Hyper Halo 2025,Internal_Combustion_Engine
Lynkco 06 A/T / Hyper Pro 2025,Internal_Combustion_Engine
Lynkco 06 A/T / Core Plus 2025,Internal_Combustion_Engine
Porsche Macan 2025 Automtic,Internal_Combustion_Engine
Porsche Macan 2025 A/T / T,Internal_Combustion_Engine
Porsche Macan 2025 A/T / S,Internal_Combustion_Engine
Porsche Macan 2025 A/T / GTS,Internal_Combustion_Engine
Porsche Macan Electric 2025 Automtic,Electric
Porsche Macan Electric 2025 A/T / 4,Electric
Porsche Macan Electric 2025 A/T / 4S Electric,Electric
Porsche Macan Electric 2025 A/T / Turbo,Electric
Porsche 718 2025 A/T / Cayman,Internal_Combustion_Engine
Porsche 718 2025 A/T / Boxster,Internal_Combustion_Engine
Porsche 718 2025 A/T / Cayman Style Edition,Internal_Combustion_Engine
Porsche 718 2025 A/T / Boxster Style Edition,Internal_Combustion_Engine
Porsche 718 2025 A/T / Cayman S,Internal_Combustion_Engine
Porsche 718 2025 A/T / Boxster S,Internal_Combustion_Engine
Porsche 718 2025 A/T /  Cayman GTS 4.0,Internal_Combustion_Engine
Porsche 718 2025 A/T / Boxster GTS 4.0,Internal_Combustion_Engine
Porsche 718 2025 A/T / Cayman GT4 RS,Internal_Combustion_Engine
Porsche 718 2025 A/T / Spyder RS,Internal_Combustion_Engine
Porsche Taycan 2025 Automtic,Electric
Porsche Taycan 2025 A/T / 4 Cross Turismo,Electric
Porsche Taycan 2025 A/T / Taycan 4S,Electric
Porsche Taycan 2025 A/T / 4S Cross Turismo,Electric
Porsche Taycan 2025 A/T / Turbo,Electric
Porsche Taycan 2025 A/T / Turbo Cross Turismo,Electric
Porsche Taycan 2025 A/T / Turbo S,Electric
Porsche Taycan 2025 A/T / Turbo GT,Electric
Porsche Taycan 2025 A/T / Highli Turbo GT with Weissach Packagene,Electric
Porsche Cayenne 2025 Automatic,Internal_Combustion_Engine
Porsche Cayenne 2025 A/T / Coupé,Internal_Combustion_Engine
Porsche Cayenne 2025 Automtic / s,Internal_Combustion_Engine
Porsche Cayenne 2025 A/T /  S Coupé,Internal_Combustion_Engine
Porsche Cayenne 2025 A/T / GTS,Internal_Combustion_Engine
Porsche Cayenne 2025 A/T / GTS Coupé,Internal_Combustion_Engine
Porsche Cayenne 2025 A/T / Coupe Turbo GT,Internal_Combustion_Engine
Porsche Panamera 2025 Automtic,Internal_Combustion_Engine
Porsche Panamera 2025 A/T / 4,Internal_Combustion_Engine
Porsche Panamera 2025 A/T / 4 E-Hybrid,Hybrid
Porsche Panamera 2025 A/T / 4 E-Hybrid Executive,Hybrid
Porsche Panamera 2025 A/T / 4S E-Hybrid,Hybrid
Porsche Panamera 2025 A/T / GTS,Internal_Combustion_Engine
Porsche Panamera 2025 A/T / Turbo E-Hybrid,Hybrid
Porsche Panamera 2025 A/T / Turbo S E-Hybrid,Hybrid
Porsche 911 2025 A/T / Carrera,Internal_Combustion_Engine
Porsche 911 2025 manual‏,Internal_Combustion_Engine
Porsche 911 2025 A/T /  Carrera Cabriolet,Internal_Combustion_Engine
Porsche 911 2025 manual‏ / Cabriolet,Internal_Combustion_Engine
Porsche 911 2025 A/T / Carrera GTS,Internal_Combustion_Engine
Porsche 911 2025 A/T / Carrera 4 GTS,Internal_Combustion_Engine
Porsche 911 2025 A/T / Carrera GTS Cabriolet,Internal_Combustion_Engine
Porsche 911 2025 A/T / Carrera 4 GTS Cabriolet,Internal_Combustion_Engine
Zeekr X 2025 A/T / Long Range,Electric
Zeekr X 2025 A/T / Performance,Electric
Zeekr 001 2025 A/T / Long Range,Electric
Zeekr 001 2025 A/T / Privilege AWD,Electric
Zeekr 001 2025 A/T / Performance AWD,Electric
Proton Saga 2026 A/T / Premium,Internal_Combustion_Engine
Proton Saga 2025 Automatic,Internal_Combustion_Engine
Proton Saga Automatic 2025,Internal_Combustion_Engine
Changan CS 35 Plus 2025 A/T / ELITE,Internal_Combustion_Engine
Changan CS 35 Plus 2025 A/T / PREMIUM,Internal_Combustion_Engine
Changan CS 35 Plus 2025 A/T / FLAGSHIP,Internal_Combustion_Engine
Changan CS 35 Plus A/T / FLAGSHIP 2025,Internal_Combustion_Engine
Changan CS 35 Plus A/T / PREMIUM 2025,Internal_Combustion_Engine
Changan CS 35 Plus A/T / ELITE 2025,Internal_Combustion_Engine
Changan Eado plus 2026 A/T / Elite,Internal_Combustion_Engine
Changan Eado plus 2026 A/T / Premium,Internal_Combustion_Engine
Changan Eado plus 2026 A/T / Flagship,Internal_Combustion_Engine
Changan Eado plus A/T / Flagship 2026,Internal_Combustion_Engine
Changan Eado plus A/T / Premium 2026,Internal_Combustion_Engine
Changan Eado plus A/T / Elite 2026,Internal_Combustion_Engine
Changan CS55 Plus 2026 A/T / Elite ( Local ),Internal_Combustion_Engine
Changan CS55 Plus 2026 A/T / Premium ( Local),Internal_Combustion_Engine
Changan CS55 Plus 2025 A/T / Elite,Internal_Combustion_Engine
Changan CS55 Plus 2025 A/T / Premium,Internal_Combustion_Engine
Changan CS55 Plus 2025 A/T / Flagship,Internal_Combustion_Engine
Changan CS55 Plus A/T / Flagship 2025,Internal_Combustion_Engine
Changan CS55 Plus A/T / Premium 2025,Internal_Combustion_Engine
Changan CS55 Plus A/T / Elite 2025,Internal_Combustion_Engine
Changan UNI-V 2026 A/T / Flagship,Internal_Combustion_Engine
Changan UNI-V A/T / Flagship 2026,Internal_Combustion_Engine
Changan UNI-T 2025 A/T / Elite,Internal_Combustion_Engine
Changan UNI-T 2025 A/T / Premium,Internal_Combustion_Engine
Changan UNI-T 2025 A/T / Flagship,Internal_Combustion_Engine
Changan UNI-T A/T / Flagship 2025,Internal_Combustion_Engine
Changan UNI-T A/T / Premium 2025,Internal_Combustion_Engine
Changan UNI-T A/T / Elite 2025,Internal_Combustion_Engine
Jeep Grand Cherokee L 2025 Automtic,Internal_Combustion_Engine
Jeep Grand Cherokee L Automtic,Internal_Combustion_Engine
Jeep Grand Cherokee L Automtic 2025,Internal_Combustion_Engine
Ds Ds4 2025 A/T / Trocadero,Internal_Combustion_Engine
Ds Ds4 2025 A/T / Performance Line,Internal_Combustion_Engine
Ds DS7 2025 A/T / pallas,Internal_Combustion_Engine
Ds DS7 2025 A/T / Etoile,Internal_Combustion_Engine
Vgv U70P Plus 2025 A/T / Highline,Internal_Combustion_Engine
Vgv U70P Plus A/T / Highline 2025,Internal_Combustion_Engine
Vgv U70Pro Plus 2025 A/T / Top Line,Internal_Combustion_Engine
Vgv U70Pro Plus 2025 A/T / Flagship,Internal_Combustion_Engine
Vgv U70Pro Plus A/T / Top Line 2025,Internal_Combustion_Engine
Vgv U70Pro Plus A/T / Flagship 2025,Internal_Combustion_Engine
Byd F3 2025 Manual,Internal_Combustion_Engine
Byd F3 2025 Automtic,Internal_Combustion_Engine
Byd F3 Automtic 2025,Internal_Combustion_Engine
Byd F3 Manual 2025,Internal_Combustion_Engine
Jetour T2 2026 A/T / Luxury,Internal_Combustion_Engine
Jetour T2 A/T / Luxury 2026,Internal_Combustion_Engine
Jetour T2 Automtic 2025,Internal_Combustion_Engine
Jetour X70 2026 A/T / Comfort,Internal_Combustion_Engine
Jetour X70 2026 A/T / Luxury,Internal_Combustion_Engine
Jetour Dashing 2026 A/T / Comfort,Internal_Combustion_Engine
Jetour Dashing 2026 A/T / Luxury,Internal_Combustion_Engine
Jetour Dashing 2025 A/T / Comfort,Internal_Combustion_Engine
Jetour Dashing 2025 A/T / Luxury,Internal_Combustion_Engine
Jetour Dashing A/T / Luxury 2025,Internal_Combustion_Engine
Jetour X70 Plus 2026 A/T / Luxury local,Internal_Combustion_Engine
Jetour X70 Plus 2025 A/T / Luxury local,Internal_Combustion_Engine
Jetour X70 Plus A/T / Luxury local 2025,Internal_Combustion_Engine
Jetour X90 Plus 2026 A/T / Luxury,Internal_Combustion_Engine
Jetour X90 Plus 2025 A/T / Luxury,Internal_Combustion_Engine
Jetour X90 Plus A/T / Luxury 2025,Internal_Combustion_Engine
Jetour T1 2026 A/T / Luxury,Internal_Combustion_Engine
Jetour T1 2025 Automatic,Internal_Combustion_Engine
Jetour T1 A/T / Luxury 2026,Internal_Combustion_Engine
KGM Torres 2025 Automtic /comfort,Internal_Combustion_Engine
KGM Torres 2025 Automtic /advanced,Internal_Combustion_Engine
KGM Torres 2025 A/T / Premium,Internal_Combustion_Engine
KGM Torres 2025 A/T / Luxury,Internal_Combustion_Engine
KGM Torres 2025 Automtic /adventure plus 4*4,Internal_Combustion_Engine
KGM Torres Automtic /adventure plus 4*4 2025,Internal_Combustion_Engine
KGM Torres A/T / Luxury 2025,Internal_Combustion_Engine
KGM Torres A/T / Premium 2025,Internal_Combustion_Engine
KGM Torres Automtic /advanced 2025,Internal_Combustion_Engine
KGM Torres Automtic /comfort 2025,Internal_Combustion_Engine
Seat Ibiza 2026 A/T / Reference,Internal_Combustion_Engine
Seat Ibiza 2026 A/T / FR,Internal_Combustion_Engine
Seat Ibiza 2026 A/T / Black Series,Internal_Combustion_Engine
Seat Ibiza 2025 A/T / Reference,Internal_Combustion_Engine
Seat Ibiza 2025 A/T / FR,Internal_Combustion_Engine
Seat Ibiza 2025 A/T / Black Series,Internal_Combustion_Engine
Seat Ibiza A/T / Black Series 2025,Internal_Combustion_Engine
Seat Ibiza A/T / FR 2025,Internal_Combustion_Engine
Seat Ibiza A/T / Reference 2025,Internal_Combustion_Engine
Seat Arona 2026 A/T / FR / Black,Internal_Combustion_Engine
Seat Arona 2025 A/T / FR / Black,Internal_Combustion_Engine
Seat Arona A/T / FR / Black 2025,Internal_Combustion_Engine
Seat Leon 2026 A/T / Advance,Internal_Combustion_Engine
Seat Leon 2025 A/T / Advance,Internal_Combustion_Engine
Seat Leon A/T / Advance 2025,Internal_Combustion_Engine
Seat Ateca 2026 A/T / Style Plus,Internal_Combustion_Engine
Seat Ateca 2025 A/T / Style Plus,Internal_Combustion_Engine
Seat Ateca 2025 A/T / FR,Internal_Combustion_Engine
Seat Ateca A/T / FR 2025,Internal_Combustion_Engine
Seat Ateca A/T / Style Plus 2025,Internal_Combustion_Engine
Suzuki Swift Dzire 2025 A/T / GLX,Internal_Combustion_Engine
Suzuki Swift 2025 A/T / GLX,Internal_Combustion_Engine
Hongqi Ousado 2026 A/T / Comfort,Internal_Combustion_Engine
Hongqi Ousado 2026 A/T / Luxury,Internal_Combustion_Engine
Hongqi Ousado A/T / Comfort 2026,Internal_Combustion_Engine
Hongqi HS3 2026 A/T / Luxury,Internal_Combustion_Engine
Hongqi E-HS9 2026 A/T / Luxury,Electric
Xpeng P7 2025 A/T /  Long Range,Electric
Xpeng P7 2025 A/T / Long Range + Nappa,Electric
Xpeng P7 A/T / Long Range + Nappa 2025,Electric
Xpeng P7 A/T /  Long Range 2025,Electric
Xpeng G6 2025 A/T / STANDARD RANGE,Electric
Xpeng G6 2025 A/T / LONG RANGE,Electric
Xpeng G6 A/T / STANDARD RANGE 2025,Electric
Xpeng G6 A/T / LONG RANGE 2025,Electric
Xpeng G9 2025 A/T / Long Range,Electric
Xpeng G9 2025 A/T /  Long Range + Nappa,Electric
Xpeng G9 2025 A/T / Performance,Electric
Xpeng G9 A/T /  Long Range + Nappa 2025,Electric
Xpeng G9 A/T / Performance 2025,Electric
Xpeng G9 A/T / Long Range 2025,Electric
Alfa Romeo Tonale 2025 AT / sprint,Internal_Combustion_Engine
Alfa Romeo Tonale 2025 A/T / Veloce,Internal_Combustion_Engine
Alfa Romeo Tonale AT / sprint 2025,Internal_Combustion_Engine
Alfa Romeo Giulia 2025 AT / sprint,Internal_Combustion_Engine
Alfa Romeo Giulia 2025 A/T / Veloce,Internal_Combustion_Engine
Alfa Romeo Giulia A/T / Veloce 2025,Internal_Combustion_Engine
Alfa Romeo Giulia AT / sprint 2025,Internal_Combustion_Engine
Alfa Romeo Stelvio 2025 A/T / Sprint,Internal_Combustion_Engine
Alfa Romeo Stelvio 2025 A/T / Veloce,Internal_Combustion_Engine
Alfa Romeo Stelvio A/T / Veloce 2025,Internal_Combustion_Engine
Alfa Romeo Stelvio A/T / Sprint 2025,Internal_Combustion_Engine
Citroën C3 2025 A/T / Feel,Internal_Combustion_Engine
Citroën C3 2025 A/T / Shine,Internal_Combustion_Engine
Citroën C3 Aircross 2025 A/T / Feel,Internal_Combustion_Engine
Citroën C3 Aircross 2025 A/T / Shine,Internal_Combustion_Engine
Citroën C4X 2026 A/T / Feel,Internal_Combustion_Engine
Citroën C4X 2026 A/T / Shine,Internal_Combustion_Engine
Citroën C4X 2025 A/T / Feel,Internal_Combustion_Engine
Citroën C4X 2025 A/T / Shine,Internal_Combustion_Engine
Citroën C4X 2025 A/T / Feel,Internal_Combustion_Engine
Citroën C4X 2025 A/T / Shine,Internal_Combustion_Engine
Citroën C4 2026 A/T / Shine Two Tone,Internal_Combustion_Engine
Citroën C4 2025 A/T / Feel,Internal_Combustion_Engine
Citroën C4 2025 A/T / Shine,Internal_Combustion_Engine
Citroën C4 A/T / Shine Two Tone 2026,Internal_Combustion_Engine
Citroën C5 Aircross 2026 A/T / Shine Entry,Internal_Combustion_Engine
Citroën C5 Aircross 2026 A/T / Shine,Internal_Combustion_Engine
Citroën C5 Aircross 2025 A/T / FEEL / with out sunroof,Internal_Combustion_Engine
Citroën C5 Aircross 2025 A/T / Feel with sunroof,Internal_Combustion_Engine
Citroën C5 Aircross 2025 A/T / SHINE,Internal_Combustion_Engine
Citroën C5 Aircross A/T / Shine 2026,Internal_Combustion_Engine
Citroën C5 Aircross A/T / Shine Entry 2026,Internal_Combustion_Engine
Citroën C5 Aircross A/T / FEEL / with out sunroof 2025,Internal_Combustion_Engine
Citroën C5 Aircross A/T / SHINE 2025,Internal_Combustion_Engine
Citroën C5 Aircross A/T / Feel with sunroof 2025,Internal_Combustion_Engine
Volvo EX30 2025 A/T / Single Core,Electric
Volvo EX30 2025 A/T / Single PLUS Extended Range,Electric
Volvo EX30 2025 A/T / Single Ultra Extended Range,Electric
Volvo EX30 2025 A/T / Twin Plus Performance,Electric
Volvo EX30 2025 A/T /  Twin Ultra Performance,Electric
Volvo EX30 A/T /  Twin Ultra Performance 2025,Electric
Volvo EX30 A/T / Twin Plus Performance 2025,Electric
Volvo EX30 A/T / Single Ultra Extended Range 2025,Electric
Volvo EX30 A/T / Single PLUS Extended Range 2025,Electric
Volvo XC90 2025 A/T / Ultimate,Internal_Combustion_Engine
Bestune T55 2025 A/T / PREMIUM PLUS,Internal_Combustion_Engine
Bestune T55 A/T / PREMIUM PLUS 2025,Internal_Combustion_Engine
Bestune B70S 2025 A/T / Premium,Internal_Combustion_Engine
Bestune B70S 2025 A/T / Limousine,Internal_Combustion_Engine
Bestune B70S A/T / Limousine 2025,Internal_Combustion_Engine
Bestune B70S A/T / Premium 2025,Internal_Combustion_Engine
Bestune T77 Pro 2025 A/T / Premium,Internal_Combustion_Engine
Bestune T77 Pro A/T / Premium 2025,Internal_Combustion_Engine
Rox 01 2025 A/T / Family 7 seats,Electric
Rox 01 2025 A/T / Aviation 6 seats,Electric
Chery Arrizo 5 2026 Manual / Base Line  / Leather,Internal_Combustion_Engine
Chery Arrizo 5 2026 AT / BASELINE Leather,Internal_Combustion_Engine
Chery Arrizo 5 2026 AT / HIGHLINE,Internal_Combustion_Engine
Chery Arrizo 5 2025 Manual / Base Line  / Leather,Internal_Combustion_Engine
Chery Arrizo 5 2025 AT / BASELINE Leather,Internal_Combustion_Engine
Chery Arrizo 5 2025 AT / HIGHLINE,Internal_Combustion_Engine
Chery Arrizo 5 AT / HIGHLINE 2026,Internal_Combustion_Engine
Chery Arrizo 5 AT / BASELINE Leather 2026,Internal_Combustion_Engine
Chery Arrizo 5 Manual / Base Line  / Leather 2026,Internal_Combustion_Engine
Chery Arrizo 5 AT / HIGHLINE 2025,Internal_Combustion_Engine
Chery Arrizo 5 AT / BASELINE Leather 2025,Internal_Combustion_Engine
Chery Arrizo 5 Manual / Base Line  / Leather 2025,Internal_Combustion_Engine
Chery Arrizo 5 2026 Manual / Base Line / Leather,Internal_Combustion_Engine
Chery Arrizo 5 2026 AT / Baseline Leather,Internal_Combustion_Engine
Chery Arrizo 5 2026 AT / Comfort,Internal_Combustion_Engine
Chery Tiggo 4 Pro 2026 A/T / Comfort,Internal_Combustion_Engine
Chery Tiggo 4 Pro 2026 A/T / Luxury,Internal_Combustion_Engine
Chery Tiggo 4 Pro 2026 A/T / Highline / Turbo,Internal_Combustion_Engine
Chery Tiggo 4 Pro 2025 A/T / Comfort,Internal_Combustion_Engine
Chery Tiggo 4 Pro 2025 A/T / Luxury,Internal_Combustion_Engine
Chery Tiggo 4 Pro 2025 A/T / Highline / Turbo,Internal_Combustion_Engine
Chery Tiggo 4 Pro A/T / Highline / Turbo 2026,Internal_Combustion_Engine
Chery Tiggo 4 Pro A/T / Luxury 2026,Internal_Combustion_Engine
Chery Tiggo 4 Pro A/T / Comfort 2026,Internal_Combustion_Engine
Chery Tiggo 4 Pro A/T / Highline / Turbo 2025,Internal_Combustion_Engine
Chery Tiggo 4 Pro A/T / Luxury 2025,Internal_Combustion_Engine
Chery Tiggo 4 Pro A/T / Comfort 2025,Internal_Combustion_Engine
Chery Tiggo 7 2026 A/T /  Baseline,Internal_Combustion_Engine
Chery Tiggo 7 2026 A/T / Highline,Internal_Combustion_Engine
Chery Tiggo 7 2025 A/T /  Baseline,Internal_Combustion_Engine
Chery Tiggo 7 2025 A/T / Highline,Internal_Combustion_Engine
Chery Tiggo 7 A/T / Highline 2026,Internal_Combustion_Engine
Chery Tiggo 7 A/T /  Baseline 2026,Internal_Combustion_Engine
Chery Tiggo 7 A/T / Highline 2025,Internal_Combustion_Engine
Chery Tiggo 7 A/T /  Baseline 2025,Internal_Combustion_Engine
Chery Tiggo 8 2026 A/T / Comfort 7 Seats,Internal_Combustion_Engine
Chery Tiggo 8 2026 A/T / Luxury,Internal_Combustion_Engine
Chery Tiggo 8 2026 A/T / Luxury 7 Seats,Internal_Combustion_Engine
Chery Tiggo 8 2025 A/T / Comfort 7 Seats,Internal_Combustion_Engine
Chery Tiggo 8 2025 A/T / Luxury,Internal_Combustion_Engine
Chery Tiggo 8 2025 A/T / Luxury 7 Seats,Internal_Combustion_Engine
Chery Tiggo 8 A/T / Luxury 7 Seats 2026,Internal_Combustion_Engine
Chery Tiggo 8 A/T / Comfort 7 Seats 2026,Internal_Combustion_Engine
Chery Tiggo 8 A/T / Luxury 2026,Internal_Combustion_Engine
Chery Tiggo 8 A/T / Luxury 7 Seats 2025,Internal_Combustion_Engine
Chery Tiggo 8 A/T / Comfort 7 Seats 2025,Internal_Combustion_Engine
Chery Tiggo 8 A/T / Luxury 2025,Internal_Combustion_Engine
Chery Tiggo 7 pro 2026 A/T / Comfort,Internal_Combustion_Engine
Chery Tiggo 7 pro 2026 A/T / Luxury,Internal_Combustion_Engine
Chery Tiggo 7 pro 2025 A/T / Comfort,Internal_Combustion_Engine
Chery Tiggo 7 pro 2025 A/T / Luxury,Internal_Combustion_Engine
Chery Tiggo 7 pro A/T / Luxury 2025,Internal_Combustion_Engine
Chery Tiggo 7 pro A/T / Comfort 2025,Internal_Combustion_Engine
Chery Tiggo 7 pro A/T / Luxury 2026,Internal_Combustion_Engine
Chery Tiggo 7 pro A/T / Comfort 2026,Internal_Combustion_Engine
Chery Tiggo 7 pro max 2026 A/T / Luxury,Internal_Combustion_Engine
Chery Tiggo 7 pro max 2026 A/T / Flagship,Internal_Combustion_Engine
Chery Arrizo 8 2026 A/T / Luxury,Internal_Combustion_Engine
Chery Arrizo 8 2026 A/T / Flagship,Internal_Combustion_Engine
Chery Tiggo 8 Pro 2026 A/T / Luxury,Internal_Combustion_Engine
Chery Tiggo 8 Pro 2026 A/T / Flagship,Internal_Combustion_Engine
Chery Tiggo 8 Pro 2025 A/T / Luxury,Internal_Combustion_Engine
Chery Tiggo 8 Pro 2025 A/T / Flagship,Internal_Combustion_Engine
Chery Tiggo 8 Pro A/T / Flagship 2025,Internal_Combustion_Engine
Chery Tiggo 8 Pro A/T / Luxury 2025,Internal_Combustion_Engine
Chery Tiggo 8 Pro A/T / Flagship 2026,Internal_Combustion_Engine
Chery Tiggo 8 Pro A/T / Luxury 2026,Internal_Combustion_Engine
Chery Tiggo 8 Pro Max 2025 A/T / Luxury,Internal_Combustion_Engine
Chery Tiggo 8 Pro Max 2025 A/T / Flagship,Internal_Combustion_Engine
Chery EQ7 2026 Automtic,Electric
Chery EQ7 2025 Automtic,Electric
Chery EQ7 Automtic 2026,Electric
Chery EQ7 Automtic 2025,Electric
Chery Tiggo 9 2026 A/T / Luxury,Electric
Peugeot 2008 2026 A/T / ALLURE,Internal_Combustion_Engine
Peugeot 2008 2026 A/T / GT,Internal_Combustion_Engine
Peugeot 2008 2025 A/T / ALLURE,Internal_Combustion_Engine
Peugeot 2008 2025 A/T / GT,Internal_Combustion_Engine
Peugeot 2008 A/T / GT 2025,Internal_Combustion_Engine
Peugeot 2008 A/T / ALLURE 2025,Internal_Combustion_Engine
Peugeot 408 2026 A/T / ALLURE PACK,Internal_Combustion_Engine
Peugeot 408 2026 A/T / GT,Internal_Combustion_Engine
Peugeot 408 2025 A/T / ALLURE PACK,Internal_Combustion_Engine
Peugeot 408 2025 A/T  / GT pack,Internal_Combustion_Engine
Peugeot 408 2025 A/T / GT,Internal_Combustion_Engine
Peugeot 408 A/T / GT 2025,Internal_Combustion_Engine
Peugeot 3008 2026 A/T / Allure,Internal_Combustion_Engine
Peugeot 3008 2026 A/T / GT,Internal_Combustion_Engine
Peugeot 3008 2025 A/T / Allure,Internal_Combustion_Engine
Peugeot 3008 2025 A/T / GT,Internal_Combustion_Engine
Peugeot 3008 A/T / GT 2026,Internal_Combustion_Engine
Peugeot 3008 A/T / Allure 2026,Internal_Combustion_Engine
Peugeot 5008 2026 A/T / Allure,Internal_Combustion_Engine
Peugeot 5008 2026 A/T / GT,Internal_Combustion_Engine
Peugeot 5008 A/T / GT 2026,Internal_Combustion_Engine
Peugeot 5008 A/T / Allure 2026,Internal_Combustion_Engine
Peugeot 508 2025 A/T /  Allure,Internal_Combustion_Engine
Peugeot 508 2025 A/T / GT,Internal_Combustion_Engine
Volkswagen Golf 2025 A/T / Highline,Internal_Combustion_Engine
Volkswagen Golf A/T / Highline 2025,Internal_Combustion_Engine
Volkswagen T-Roc 2025 A/T / R-Line,Internal_Combustion_Engine
Volkswagen Tiguan 2025 A/T / R-Line,Internal_Combustion_Engine
Volkswagen Tiguan A/T / R-Line 2025,Internal_Combustion_Engine
Volkswagen Touareg 2025 A/T / R-Line,Internal_Combustion_Engine
Volkswagen Touareg A/T / R-Line 2025,Internal_Combustion_Engine
Kaiyi X3 Pro 2026 A/T / Top Line,Internal_Combustion_Engine
Kaiyi X3 Pro 2026 A/T / Flagship,Internal_Combustion_Engine
Kaiyi X3 Pro A/T / Flagship 2026,Internal_Combustion_Engine
Kaiyi X3 Pro A/T / Top Line 2026,Internal_Combustion_Engine
Kaiyi X7 2026 A/T / Flagship,Internal_Combustion_Engine
Deepal S 05 2026 A/T / REEV,Range_Extended_Electric_Vehicle_REEV_EREV
Deepal S 05 2026 A/T / BEV,Electric
Deepal S 07 2026 A/T / REEV,Range_Extended_Electric_Vehicle_REEV_EREV
Deepal S 07 2026 A/T / BEV,Electric
Genesis GV70 2026 A/T / Dynamic,Electric
Genesis GV70 2026 A/T / Advanced,Electric
Genesis G80 2026 A/T / Dynamic,Electric
Genesis G80 2026 A/T / Advanced,Electric
Genesis G80 2026 A/T / Performance,Electric
Geely Emgrand 2025 Automatic / Comfort /  ,Internal_Combustion_Engine
Geely Emgrand 2025 A/T / Comfort / ,Internal_Combustion_Engine
Geely Emgrand 2025 Automtic / Luxury /  ,Internal_Combustion_Engine
Geely Emgrand 2025 A/T / Luxury / ,Internal_Combustion_Engine
Geely Emgrand A/T / Luxury /  2025,Internal_Combustion_Engine
Geely Emgrand A/T / Comfort /  2025,Internal_Combustion_Engine
Geely Emgrand Automtic / Luxury /   2025,Internal_Combustion_Engine
Geely Emgrand Automatic / Comfort /   2025,Internal_Combustion_Engine
